title,description,link,hint,points,flag,section
Bridges,"Alright, kiddos, gather 'round for a tale of a Chinese traveler named Won Yu 🧳. Dude stumbles upon this gorgeous bridge, but—plot twist—there’s no connection between the two ropes. Talk about a bridge that can’t bridge! 🌉🤦‍♂️

Won Yu, being the smart cookie he is, notices that you can connect these ropes if they’ve got matching numbers. But here’s the kicker—no connection should cut across another one. It’s like untangling Christmas lights without crying. 🎄😩

Your mission: Help Won Yu make the max number of connections possible. 🧠 But don’t stop there! Once you’ve cracked the code, slap that number into a base-64 encoded format. You’ll find the ropes in the input files, and if you’re confused, check out the image for a little extra brain juice. 🕵️‍♂️🧩

Finally, wrap that encoded string up nice and pretty in CODE{<base-64_encoded>} and send it off to Won Yu. 🎁

Now go be a hero, connect those ropes, and make Won Yu proud! 🌟💥

",https://drive.google.com/drive/folders/1OJviyTx1pLOrr247x72USSvEzGCE2WfX?usp=sharing  ,,15,CODE{Mzc=},1
Taxing Fraudomed,"Alright, welcome to “The Converse” 🌌, where hospitals have names like Fraudomeds and probably offer some suspiciously free ""supplies"" 🏥💊. Your mission: uncover which of these not-so-subtle money-makers is raking in the most cash. 💰

Assuming every hospital has its own pharmacy 💊 and those sweet, sweet free supplies 🎁, you’ll want to do some calculations to figure out which one's the top earner. Once you've cracked the code, format your answer as CODE{HospitalID_Earnings} with the earnings rounded to the nearest thousand. 🚀

Ready to dive in and expose the biggest fraud of them all? 🕵️‍♂️💥

",https://drive.google.com/file/d/1I7X1tpFBZWrcpJnlz_KkFwPthFMnaU2e/view?usp=sharing,,15,CODE{8_7174000},1
Do You Dare To,"Do you dare to find the flag? 🎯 Come on, don’t be a quitter! Keep pushing, and I promise, you won’t be let down, turned around, or deserted. 😉 We’ve got this—flag or bust! 🏴‍☠️💥",https://www.instagram.com/up_down_cry_goodbye/ ,,15,CODE{Y0U_60T-R1(|<r01l34},1
Vision Showdown,"Hey there, it’s Deadpool! Here’s the scoop: I’m currently standing at Logan’s grave, battling it out with the TVA authority using his bones as makeshift weaponry. Yeah, you heard that right. Things got a bit messy, and now I’m up against some serious time cops.

In the midst of this chaos, I need your help to crack a crucial code. There’s a key hidden in an image file that I need to access in order to get out of this mess and maybe, just maybe, find a variant of Logan who can take up the mantle.

The key is all numbers—no spaces, just pure numerical goodness. Help me decipher it, and together we might just turn the tide in this battle! Submit the flag in the format CODE{}                                                                                                      ",https://docs.google.com/document/d/1tYHkZiP4n9_ukAzRfnPEY5YXB_GJWoZXxWKy5GmSxSk/edit?usp=sharing,"When the going gets tough, the tough start googling. Seriously though, OpenCV and the CV2 docs are like that friend who always knows the answer (but you only call them when you're desperate). Dive into those docs, and you might just find the golden nugget you need to crack this challenge.",20,CODE{GENIUS},2
"Invisible Trail","So, here’s the deal: I’m hot on the trail of a Logan who can be the anchor for my universe. My search has led me to this super sketchy website, and I’ve got a hunch that it’s hiding something juicy.

Your job? Find the hidden flag that some clever little geek has stashed away in the dark corners of this site. It’s not just any flag—it’s the golden ticket we need to snag the perfect Logan and keep this multiverse from spiraling into chaos (well, more chaos than usual).",https://ieee-flagship-ctf-web.netlify.app/,"The key might not be readily apparent. Explore every corner.
",20,CODE{fL465H1p_Ie3E},2
"Puzzled Expedition","It’s your pal Deadpool, and things have gotten serious. I’ve scoured the multiverse, jumped through more portals than I can count, and fought off more TVAs than you’ve had hot dinners, but I still haven’t found the perfect Logan to anchor this crazy reality.

Now, I’ve stumbled upon a seemingly harmless interface, but we both know that nothing is ever as it seems. There’s a secret message hidden within, and I need you to crack the code. This could be the key to finally finding the right Logan or maybe just another cosmic joke at my expense. Either way, it’s all on you, champ.","https://puzzled-expedition.netlify.app/
","The key might not be readily apparent. Explore every corner.
",20,CODE{1Erdn@tc3p5nv34Lc!},2
Sanctuary's Secret,"Alright, listen up, partner-in-crime! I’ve got a confession to make, and no, it’s not about that time I borrowed Logan’s toothbrush. I’m talking about something way more serious—like being lost in a multiverse with no GPS. I found myself in some mysterious sanctuary - a sanctuary where I cannot lie , forced to spill my guts. 

Now, I need your help. I’ve got a snapshot of a place—a mercantile, to be exact. But here’s the kicker: to find my way out, I need to locate the first five numerals of the address. The flag format will be CODE{XXXXX}, so once you’ve got those digits, plug them in and let’s break free from this mess.

Think you can help a merc out? Let’s find those digits and get me back on track!",https://drive.google.com/file/d/1D-PJimvF1fosbeNh5ISAjMmQZY2WY8v0/view?usp=sharing,,20,CODE{27724},2
Surfeit Pursuit,"I’ve just stumbled onto something darker than my sense of humor. Welcome to ""The Converse,"" where reality is more twisted than a pretzel. The folks over at Fraudomeds Hospitals have been playing a nasty game—overdosing a patient right under everyone’s nose. Yeah, I know, real charming, right?

Your mission, if you’re up for it, is to expose this nasty little secret. Dig up the dirt on the poor patient and the quack doctor behind it all, and calculate the total dosage they used to pull off this grim stunt.

Serve up the truth in this format: CODE{Patient’s_Full_Name-Doctor’s_Full_Name-Total Dosage}.",https://drive.google.com/file/d/1I7X1tpFBZWrcpJnlz_KkFwPthFMnaU2e/view?usp=sharing,,20,CODE{Noah_Jackson-Sarah_Brown-101.99},2
"Gordon Ramsay and Mr. Oinkers","Alright, listen up! Deadpool here. I was on a quest to find Logan across the multiverse, but instead, I stumbled upon Mr. Oinkers in a parallel dimension. Seems like Mr. Oinkers got himself into a bit of a pickle and needs some help.

He’s curious about bacon, of all things, and decided to chat with Gordon Ramsay on Discord. But now Mr. Oinkers has run into a weird reply from Gordon and needs your help to crack the code.

I’m too swamped with multiverse mayhem to help him out myself, so I’m counting on you to assist. The secret message must be submitted within CODE{__}, and Mr. Oinkers needs to find it to get out of this jam.",https://drive.google.com/file/d/1RyJM9lryftFyMDki3hBuek9MnVtAz66w/view?usp=sharing,"[Mr. Oinkers] Does putting bacon in pigfat give you double the bacon?

[Gordon Ramsay] Nah you trippin fr",20,CODE{THENOTORIOUSPIG},2
Yin Yang,"So, my latest multiverse hop just landed me in a universe where everything’s written in binary—yeah, I’m talking 1s and 0s, like some kind of evil robot Sudoku. And just when I thought things couldn’t get weirder, I get a cryptic message from a shady source: “Phone pe square banao.”

Great. Not only do I have to deal with this binary gobbledygook, but now I’ve got to figure out how to make a square out of it on my phone. Because, you know, why make anything easy?

Let’s solve this puzzle and see what kind of multiversal madness it unlocks. You’ve got the brains, I’ve got the… well, let’s just say I’ve got a lot of enthusiasm. Now get cracking before I have to try to read this binary stuff again—it gives me a headache.",https://drive.google.com/file/d/1owTQuqmXrQCmFeczZUila8ZxcYOmUAv8/view?usp=sharing,Yin yang ? Phone pe ? Square ?,20,CODE{bL@cK_wH1te_P9x3l},2
Double Threat to Humanity,"Alright, buckle up, because I'm jumping universes like a caffeinated kangaroo on a mission to find the perfect Logan. Problem is, not every Logan’s got the right combo of claws, attitude, and that special urge to punch me in the face. And now, we’ve stumbled into a universe where machines think they can outsmart us—ha, as if!

These metal clowns have discovered something freaky about the human brain, but instead of spilling the beans, they’ve locked it up in some weird, esoteric code. Because why wouldn’t they? Now, it’s up to you to crack this code and uncover their twisted secret.

Remember, memory is the key—think of it as your own little TemPad, but for brains. So dive into this robo-gibberish, and let’s show these machines that Deadpool and his gang of Gentlemen Bastards aren’t just hopping universes—we’re kicking butt and taking names! Submit the flag in the format CODE {}","https://drive.google.com/drive/folders/18vZgDi7XBhXYispE3lQ_m4kAjbBfPmAN?usp=sharing
","why is this a double threat? is something inappropriate in the title??
Memory is the key.....if you forget, you are gone....but it you manipulate it,you can save the world",20,CODE{doubl3_bra1n_fuck3d},2
Clicker Insanity,"Guess what? I finally found a Logan who didn’t immediately try to gut me like a fish. Progress, right? I’ve dragged him back to Paradox, but there’s one last hurdle. To seal the deal and make sure this Logan is the real deal, I need you to do something super complex… Just kidding, it’s dead simple!

All you have to do is click a button a few times to get the flag. Easy, right? But if your trigger finger gets tired or your brain starts to itch, just remember: where there’s a brain, there’s always a way.

So, let’s not screw this up, okay? Paradox is watching, and I really don’t want to go through another multiverse shopping spree for a new Logan.","https://clicker-ctf-ieee.vercel.app/
","Inspect the website closely
Maybe the URL can help",20,CODE{How_did_you_get_here?!},2
"A Line of Greats
","So, picture this—just like that messed-up Logan variant I dragged into the TVA, Computer Science is like a twisted multiverse of its own - full of legends who were born one after the other, each one building on the last—like a domino effect, but with more code and less falling over.

Now, you're holding onto some snapshots of these brainy folks. Maybe you think, “Hey, I know these guys, they’re just a bunch of geeks!” But hold up! There’s more to them than meets the eye. Think of them as hidden bosses in a video game—each one with a secret move, or in this case, some mind-blowing contributions to Computer Science.

So, here’s your mission, Mercenary! Dig deep and sniff out those clues, Deadpool style! You’re looking for the key, and no, it’s not some boring old number. It’s something uniform, homogenous, and more predictable than Colossus’ morning routine. Keep your findings in the same format—like making sure all your chimichangas are cooked to perfection.

Now go! Make history, or at least don’t mess it up too much! 💥🕶️ Submit the flag in the format CODE{}", https://drive.google.com/drive/folders/1eSH4hw3RREVdVxKHY13gSLqLc5JzlzPT?usp=sharing ,The images contain hidden messages with clues. You can use https://stylesuxx.github.io/steganography/ to extract the messages.,25,CODE{GENIUS},3
"Clowning Around
","Paradox—who we now know is a rogue agent (big surprise)—decides to send me and this sorry excuse for a Wolverine to the Void. Yeah, you heard me, the Void—a place of no return, where dreams go to die, and chimichangas are always burnt. Now we’re stuck here, surrounded by all kinds of dangers, trying to find a way out before we end up as cosmic roadkill.

And then, just when you think things couldn’t get any worse, this clown shows up. Not the fun kind, like me, but a literal clown who’s supposed to bring joy to the world with his cooking skills. Only problem? The dude’s lost his memory! All he knows is that his burgers are legendary—like, best-in-the-multiverse kind of legendary. But can he remember the recipe? Nope. It’s like watching Logan try to work a blender—painful and tragic.

This clown tried a million times to recreate his beloved burger, but each attempt was worse than the last. Then, one day, he stumbles across a safe labeled “Super Duper Secret Recipe.” Jackpot, right? Wrong. The safe is locked, and the key is trapped somewhere in his scrambled brain. The only clue? His Aadhaar Card, which he somehow managed to download as a PDF. Yeah, because that’s gonna help.

So now, while Logan and I are busy battling the horrors of the Void, this poor, clueless clown needs help cracking that safe and getting his hands on the key. It’s a race against time, folks! We’ve got to help this guy remember who he is, unlock that safe, and get that burger recipe out before the Void swallows us all whole.",https://www.mediafire.com/folder/gtl0gaoosy47i/IEEE_Flagship,The clown in question in Ronald McDonald. The problem solver needs to know the password format of Aadhaar Card pdf when downloaded to access the pdf Addressing the problem can mean many things,25,CODE{UNhaPpY_M3A1_41},3
Be Rude,"Alright, listen up! So here’s the latest in my never-ending tour of bad luck and terrible decisions. Logan and I are stuck in the Void—a place so miserable, it makes the DMV look like Disneyland. And just when I thought things couldn’t get any worse, guess who shows up to crash our pity party? The great dragon Smaug! Yeah, the oversized lizard who’s got a hoarding problem.

This fire-breathing jerk decided to take over our little slice of the Void and park his scaly butt right on top of the most precious key in existence. And no, this isn’t just any key—it’s the kind of key that could actually get us out of this hellhole. Problem is, the only path to the key goes right through Smaug, and this guy’s not exactly handing out welcome brochures.

Can you bypass the humongous ancient dragon to restore your home and fortunes???",https://www.mediafire.com/folder/qflmh0oz8p7aw/Be_Rude,"The image speaks a thousand words WW2 Encoding Technique
",25,CODE{3A5Y-D0ESNT-W0RK},3
"EtherMystery","Well, guess what? Turns out, the Logan I found is the absolute worst Logan of them all. We’re talking pure, unfiltered nightmare fuel. This guy’s got more issues than a comic book series. Now, thanks to my poor choice in multiverse shopping, we’ve got a new problem—a mysterious Ethereum address has surfaced on a hidden network testnet.

Your mission? Dive into the dark, murky depths of this address and decipher the concealed message hidden within. Somewhere in its cryptic details lies the key to a hidden flag, and we need it to figure out how to deal with this Logan-from-Hell situation.

So, put on your detective hat, flex those investigative muscles, and dig deep into the blockchain abyss. Paradox is counting on us not to mess this up!

Discovered Address : 0x5a4983927dcee4af40e5829eb890698e63c9e3ce",,Utilise the Sepolia testnet.,25,CODE{fLaG_iS_fOuNd_SePoLiA_fTw},3
"JAM JAM JAMBURA","Now I am stuck in the Void. Yep, the place where dreams go to die, and there’s no way out. So here we are, me and the lamest Wolverine, stuck in this nightmare zone, battling all sorts of dangers just trying to find an exit. Something tells me if you git the flag, I can get out of this hole. Remember nothing is a coincidence.",https://drive.google.com/file/d/1iSNY5Y1ymu_dvPX4Hrccz8hIaEL8vQP6/view?usp=drive_link,,25,CODE{Ch00taBh33mm},3
"The Coded breathing Technique","Guess what? I’m stuck in the Void. No chimichangas, no Wi-Fi, just grumpy Wolverine. Sounds like a blast, right?

Anyway, while I’m wandering around, cracking jokes to keep myself sane, I stumble upon this ancient Demon Slayer scroll. It’s got some crazy encrypted gibberish on it, like someone decided to play Scrabble with hieroglyphics. Turns out, it’s the instructions for the legendary Coded Breathing Technique—a super-secret, super-powerful move that makes demons cry for their mommies. But, of course, it’s locked behind a cipher that’s tougher than Wolverine’s attitude on a Monday. The text is encrypted using an intricate transposition cipher known for its ability to conceal messages within a seemingly random arrangement of letters.It is enshrouded in complex encryption, an elaborate lattice that distorts the message into an enigmatic sequence of letters.

Maybe the coded breathing technique is my way out of the void. Help me decipher the encoded scroll and unravel the secrets of the Coded Breathing Technique. Submit the flag in the format CODE{}","https://drive.google.com/drive/folders/1Dpcjw0C0Q9vWi5S2u1XUtknE5zdY8eb0?usp=sharing

","how many upper moons are working under Muzan... Oops..... I said his name......
",25,CODE{D3m0n_51ay3r5_Br34th1ng_T3chn1qu3_Uncov3r3d},3
Time Waste,"Alright, hero, it’s Wade Wilson, and I’ve got a fun little predicament for you. After an epic (and slightly disastrous) detour, I found a Logan variant that’s somehow the absolute worst Wolverine in the multiverse. Paradox, being a bit of a troublemaker, decided to dump us both into the Void—a place you really don’t want to be stuck in.

Here’s the deal: to escape this endless, dreary expanse, you need to uncover the flag hidden somewhere in this mess. It’s formatted as IEEE{}, but make sure to submit it in CODE{}.

So, gear up and start searching! The Void’s got its own nasty surprises, and I’d really prefer not to spend eternity here with this grumpy, subpar Logan. Time to get to work!
",https://drive.google.com/drive/folders/1g3lrOyfDtgLaoHK4O1_hFK2yThKZU7CW?usp=drive_link,,25,CODE{t1me_WaStte},3
RouteToVictory,"Hey there, brave adventurer! Wade Wilson here—well, sort of. I'm currently battling the grumpiest, least effective Wolverine variant in all the multiverse. Yeah, it's as fun as it sounds.

So, while I'm busy trying not to get my face shredded by a mutant who’s anything but the sharpest claw in the drawer, I need you to crack this cryptic message for me.

Welcome, intrepid voyager, to the digital frontier where legends are born and mysteries abound. In this virtual realm, a fabled treasure lies dormant, awaiting the one brave enough to navigate its labyrinthine pathways. Your quest begins at the crossroads of RouteToVictory, where five diverging routes beckon. To unlock the secrets of this realm, you must embark on a journey through these routes. Each path holds a clue, a fragment of the puzzle that will lead you closer to the coveted prize. Trust in your instincts, decipher the hidden messages, and chart your course wisely. But heed this warning: in the depths of cyberspace, not all is as it seems. Tread carefully, for danger lurks where shadows dwell. Will you rise to the challenge and claim your rightful place among the digital elite, or will you falter in the face of adversity? The choice is yours, brave adventurer.",http://ups123.pythonanywhere.com/,"Rising Overcoming Unforeseen Trials, Enter the 1st expedition...
",25,CODE{FLAG_COMBINED_CORRECTLY},3
Startup,"It's 2024, and you, Logan, like most middle aged people of the country, decides to set up a startup, ClawTech Solutions, which focuses on precision instruments.

However, before you begin setting up, you observe that you have three main domains of expenditure: R&D, Admin and Marketing. You also know how much profit your startup will make based on how much you spend on the three domains.

1. Can you figure out how much each metric contributes to the profit?
2. Assuming you have the individual contributions, you now want to study how changing these metrics affects your profit, and you decide to make the following changes:
    a. You increase the R&D expenditure by 10%
    b. You increase the Admin expenditure by 6%
    c. You increase the Marketing expenditure by 11%

What percentage change do each of the above individually cause in the profit?",https://www.mediafire.com/folder/7xtdt3rzjv9z2/Startup,,30,CODE{5T4RTUP_5UCC355FUL},4
MNIST Exploit,"As you, Logan, delves into the world of machine learning, you encounter your first challenge: the MNIST digit classifier. So you decide to use a model you found on the internet: 2 hidden layers, each having 100 neurons. However, training and testing your model won't be sufficient to get the flag; you have 6 challenges to complete:
 - 1. Find out the number of parameters in the second hidden layer.
 - 2. Find the weight between neuron 246 of the input layer, and neuron 88 of the second layer (pay close attention to how input is accepted to the model)
 - 3. Find the bias contributed by neuron 63 of the first hidden layer
 - 4. Find the weight between neuron 69 (hehe) of the first hidden layer, and neuron 69 (no way, a double) of the second hidden layer.
 - 5. Find the number of training examples that are either the digit 4 or the digit 9
 - 6. Find the number of test examples that are the digit 7",https://docs.google.com/document/d/1-kw6JbE8XKCk9lhXAFRJ0iN1H62nhbA7PwaxNctPqyY/edit?usp=sharing,,30,CODE{N3UR4L_N3TW0RK_M4TH3M4T1C5_15_CR4ZY},4
